slug,state,category,supports_path,published_at,updated_at,author_name,author_id,title_fr,title_ar,title_en,locales,words_fr,words_ar,words_en,links_out_fr,links_out_ar,links_out_en,faq_fr,faq_ar,faq_en,has_year_in_slug,years_in_body_fr,amounts_in_body_fr,rendered_title_fr,rendered_h1_fr,schema,speakable,noindex
"omra-8-jours-ou-15-jours","live","omra","/bab-makka","2026-09-07T21:14:40.005+00:00","2026-09-07T21:14:40.27377+00:00","Yahya Houssini","","Omra 8 jours ou 15 jours : quelle durée choisir depuis le Maroc ?","عمرة 8 أيام أم 15 يومًا: أي مدة تختار انطلاقًا من المغرب؟","Umrah for 8 Days or 15 Days: Which Length to Choose from Morocco?","fr+ar+en","1174","885","1071","5","5","5","3","0","3","no","2026","12","Omra 8 ou 15 jours : quelle durée choisir ? | Bab Makka","Omra 8 jours ou 15 jours : quelle durée choisir depuis le Maroc ?","BlogPosting+Person+BreadcrumbList","yes","no"
"prix-omra-maroc-par-gamme-et-mois","live","omra","/omra-pas-cher","2026-09-07T21:14:40.005+00:00","2026-09-07T21:14:39.962777+00:00","Yahya Houssini","","Prix Omra 2026 depuis le Maroc : tarifs réels par gamme et par mois","أسعار العمرة من المغرب في 2026: التكلفة الحقيقية حسب الفئة والشهر","Umrah Prices from Morocco in 2026: Real Rates by Tier and Month","fr+ar+en","1501","1157","1339","6","6","6","3","0","3","no","2026 2016 2027","26","Prix Omra 2026 Maroc : tarifs par gamme et mois | Bab Makka","Prix Omra 2026 depuis le Maroc : tarifs réels par gamme et par mois","BlogPosting+Person+BreadcrumbList","yes","no"
"cout-hajj-maroc","live","hajj","","2026-09-05T09:00:00+00:00","2026-08-31T16:47:56.390981+00:00","Wiki Tours International","","Le coût du Hajj depuis le Maroc : ce que couvre réellement le montant","تكلفة الحج من المغرب: ماذا يغطي المبلغ فعلاً","The cost of Hajj from Morocco: what the amount really covers","fr+ar+en","408","281","344","8","8","8","0","0","0","no","","0","Coût du Hajj depuis le Maroc : ce qui est inclus | Bab Makka","Le coût du Hajj depuis le Maroc : ce que couvre réellement le montant","BlogPosting+BreadcrumbList","yes","no"
"hajj-ministere-ou-agence","live","hajj","","2026-09-04T09:00:00+00:00","2026-08-31T16:47:56.254485+00:00","Wiki Tours International","","Hajj au Maroc : programme du Ministère ou programme d'agence ?","الحج بالمغرب: برنامج الوزارة أم برنامج وكالة؟","Hajj in Morocco: Ministry program or agency program?","fr+ar+en","379","275","330","5","5","5","0","0","0","no","","0","Hajj Maroc : Ministère ou agence agréée ? | Bab Makka","Hajj au Maroc : programme du Ministère ou programme d'agence ?","BlogPosting+BreadcrumbList","yes","no"
"pas-tire-au-sort-hajj-omra","live","hajj","","2026-09-03T09:00:00+00:00","2026-08-31T16:47:56.134266+00:00","Wiki Tours International","","Pas retenu au tirage du Hajj : que faire maintenant ?","لم تُقبل في قرعة الحج: ماذا تفعل الآن؟","Not selected in the Hajj draw: what now?","fr+ar+en","408","289","355","6","6","6","0","0","0","no","","0","Pas tiré au sort au Hajj : que faire ? | Bab Makka","Pas retenu au tirage du Hajj : que faire maintenant ?","BlogPosting+BreadcrumbList","yes","no"
"loterie-hajj-maroc","live","hajj","","2026-09-02T09:00:00+00:00","2026-08-31T16:47:56.618449+00:00","Wiki Tours International","","La loterie du Hajj au Maroc : comment fonctionne le tirage au sort","قرعة الحج بالمغرب: كيف تجري بالضبط","The Hajj lottery in Morocco: how the draw works","fr+ar+en","386","266","335","3","3","3","0","0","0","no","","0","Loterie du Hajj au Maroc : le tirage au sort | Bab Makka","La loterie du Hajj au Maroc : comment fonctionne le tirage au sort","BlogPosting+BreadcrumbList","yes","no"
"omra-groupe-ou-individuel","live","omra","","2026-09-01T09:00:00+00:00","2026-08-31T16:46:54.065961+00:00","Wiki Tours International","","Omra en groupe ou en individuel : que choisir depuis le Maroc","العمرة في فوج أم فردياً: ماذا تختارون من المغرب","Guided group or independent Umrah: what to choose from Morocco","fr+ar+en","595","422","523","5","5","5","0","0","0","no","","1","Omra en groupe ou individuel : comment choisir | Bab Makka","Omra en groupe ou en individuel : que choisir depuis le Maroc","BlogPosting+BreadcrumbList","yes","no"
"application-nusuk-guide","live","guide","","2026-08-31T09:00:00+00:00","2026-08-24T19:06:58.007328+00:00","Wiki Tours International","","L'application Nusuk : à quoi elle sert pendant votre Omra","تطبيق نسك: فيم يفيدكم خلال العمرة","The Nusuk app: what it does during your Umrah","fr+ar+en","611","416","544","3","3","3","0","0","0","no","","0","Application Nusuk : réserver la Rawda | Bab Makka","L'application Nusuk : à quoi elle sert pendant votre Omra","BlogPosting+BreadcrumbList","yes","no"
"budget-argent-poche-omra","live","guide","","2026-08-29T09:00:00+00:00","2026-08-24T19:08:44.458395+00:00","Wiki Tours International","","Combien d'argent emporter en Omra : le budget sur place","كم من المال تأخذون للعمرة: ميزانية المصاريف هناك","How much money to bring on Umrah: your on-site budget","fr+ar+en","619","420","517","3","3","3","0","0","0","no","","0","Argent à emporter en Omra : le budget sur place | Bab Makka","Combien d'argent emporter en Omra : le budget sur place","BlogPosting+BreadcrumbList","yes","no"
"quand-reserver-omra-calendrier","live","omra","","2026-08-28T09:00:00+00:00","2026-08-24T19:08:44.686403+00:00","Wiki Tours International","","Quand réserver son Omra : le calendrier mois par mois","متى تحجزون عمرتكم: الرزنامة شهراً بشهر","When to book your Umrah: the month-by-month calendar","fr+ar+en","598","433","519","7","7","7","0","0","0","no","2027","0","Quand réserver son Omra : calendrier | Bab Makka","Quand réserver son Omra : le calendrier mois par mois","BlogPosting+BreadcrumbList","yes","no"
"hajj-maroc-inscription-quota","live","hajj","","2026-08-27T09:00:00+00:00","2026-08-31T16:46:11.643767+00:00","Wiki Tours International","","Le Hajj depuis le Maroc : inscription, quota et déroulement","الحج من المغرب: التسجيل والحصة ومسار الرحلة","Hajj from Morocco: registration, quota and how it works","fr+ar+en","464","315","408","6","6","6","0","0","0","no","","0","Hajj depuis le Maroc : inscription & quota | Bab Makka","Le Hajj depuis le Maroc : inscription, quota et déroulement","BlogPosting+BreadcrumbList","yes","no"
"omra-octobre-meteo-affluence","live","omra","","2026-08-26T09:00:00+00:00","2026-08-20T18:26:10.128228+00:00","Wiki Tours International","","Partir en Omra en octobre : météo, affluence et budget","العمرة في أكتوبر: الطقس والازدحام والميزانية","Umrah in October: weather, crowds and budget","fr+ar+en","338","232","286","8","8","8","0","0","0","no","2027","0","Omra en octobre : météo, affluence, prix | Bab Makka","Partir en Omra en octobre : météo, affluence et budget","BlogPosting+BreadcrumbList","yes","no"
"omra-vacances-scolaires","live","omra","","2026-08-25T09:00:00+00:00","2026-08-23T21:28:50.253065+00:00","Wiki Tours International","","Omra pendant les vacances scolaires : la fenêtre idéale des familles","العمرة في العطلة المدرسية: النافذة المثالية للعائلات","Umrah during school holidays: the ideal family window","fr+ar+en","371","271","327","5","5","5","0","0","0","no","","0","Omra vacances scolaires : la fenêtre famille | Bab Makka","Omra pendant les vacances scolaires : la fenêtre idéale des familles","BlogPosting+BreadcrumbList","yes","no"
"invocations-dua-omra","live","guide","","2026-08-24T09:00:00+00:00","2026-08-23T21:28:48.453497+00:00","Wiki Tours International","","Les invocations (dua) de l'Omra : ce qu'on récite à chaque étape","أدعية العمرة: ماذا تقول في كل مرحلة","Umrah supplications (dua): what to recite at each step","fr+ar+en","375","204","313","3","3","3","0","0","0","no","","0","Les dua de l'Omra : tawaf, sa'i, ihram | Bab Makka","Les invocations (dua) de l'Omra : ce qu'on récite à chaque étape","BlogPosting+BreadcrumbList","yes","no"
"vaccins-sante-omra","live","guide","","2026-08-24T09:00:00+00:00","2026-08-23T21:28:48.579811+00:00","Wiki Tours International","","Vaccins et santé pour l'Omra depuis le Maroc : ce qu'il faut savoir","التلقيح والصحة للعمرة من المغرب: ما يجب معرفته","Vaccines and health for Umrah from Morocco: what to know","fr+ar+en","337","245","277","3","3","3","0","0","0","no","","0","Vaccins Omra : méningite (ACWY) & santé | Bab Makka","Vaccins et santé pour l'Omra depuis le Maroc : ce qu'il faut savoir","BlogPosting+BreadcrumbList","yes","no"
"que-visiter-la-mecque","live","guide","","2026-08-24T09:00:00+00:00","2026-08-23T21:28:48.309178+00:00","Wiki Tours International","","Que voir à La Mecque au-delà des rites de l'Omra","ماذا تزور في مكة المكرمة إلى جانب مناسك العمرة","What to see in Makkah beyond the Umrah rites","fr+ar+en","325","218","292","7","7","7","0","0","0","no","","0","Que voir à La Mecque : Hira, Thawr, sites du Hajj","Que voir à La Mecque au-delà des rites de l'Omra","BlogPosting+BreadcrumbList","yes","no"
"gammes-omra-economique-vip","live","omra","","2026-08-24T09:00:00+00:00","2026-08-23T21:28:49.620624+00:00","Wiki Tours International","","Les gammes de l'Omra, de l'économique au VIP : comment choisir","فئات العمرة من الاقتصادية إلى VIP: كيف تختار","Umrah tiers, from economy to VIP: how to choose","fr+ar+en","359","264","311","3","3","3","0","0","0","no","","0","Gammes Omra : économique, confort, premium, VIP | Bab Makka","Les gammes de l'Omra, de l'économique au VIP : comment choisir","BlogPosting+BreadcrumbList","yes","no"
"omra-en-famille-enfants-parents-ages","live","guide","","2026-07-29T19:34:46.907+00:00","2026-08-25T15:59:35.048056+00:00","Wiki Tours International","","Omra en famille : réussir son pèlerinage avec enfants et parents âgés","العمرة عائلياً: نجاح رحلتكم مع الأطفال وكبار السن","Family Umrah: succeeding with children and elderly parents","fr+ar+en","586","405","504","8","8","8","0","0","0","no","","0","Omra en famille : enfants & parents âgés | Bab Makka","Omra en famille : réussir son pèlerinage avec enfants et parents âgés","BlogPosting+BreadcrumbList","yes","no"
"omra-10-derniers-jours-ramadan-2027","live","omra","","2026-07-28T12:11:48.578+00:00","2026-08-23T21:28:49.293341+00:00","Wiki Tours International","","Omra pendant les 10 derniers jours du Ramadan 2027 : Laylat al-Qadr","عمرة في العشر الأواخر من رمضان 2027: ليلة القدر","Umrah in the last 10 nights of Ramadan 2027: Laylat al-Qadr","fr+ar+en","445","320","404","6","6","6","0","0","0","yes","2027","0","Omra 10 derniers jours Ramadan 2027 | Bab Makka","Omra pendant les 10 derniers jours du Ramadan 2027 : Laylat al-Qadr","BlogPosting+BreadcrumbList","yes","no"
"que-visiter-medine-ziyara","live","guide","","2026-07-24T17:12:48.568+00:00","2026-08-23T21:28:49.181461+00:00","Wiki Tours International","","Que visiter à Médine : le guide de la ziyara","ماذا تزور في المدينة المنورة: دليل الزيارة","What to visit in Madinah: the ziyara guide","fr+ar+en","372","248","336","7","7","7","0","0","0","no","","0","Que visiter à Médine : guide ziyara | Bab Makka","Que visiter à Médine : le guide de la ziyara","BlogPosting+BreadcrumbList","yes","no"
"train-al-haramain-mecque-medine","live","guide","","2026-07-24T17:12:48.536+00:00","2026-08-31T16:46:11.424087+00:00","Wiki Tours International","","Le train Al‑Haramain : relier La Mecque et Médine confortablement","قطار الحرمين السريع: الربط بين مكة والمدينة براحة","The Al‑Haramain train: connecting Makkah and Madinah in comfort","fr+ar+en","606","426","522","3","3","3","0","0","0","no","","0","Train Al‑Haramain : La Mecque – Médine | Bab Makka","Le train Al‑Haramain : relier La Mecque et Médine confortablement","BlogPosting+BreadcrumbList","yes","no"
"comment-choisir-agence-omra","live","guide","","2026-07-23T04:28:53.062+00:00","2026-08-23T21:28:48.947914+00:00","Wiki Tours International","","Comment choisir son agence Omra au Maroc : les 7 critères qui comptent","كيف تختار وكالة العمرة في المغرب: المعايير السبعة المهمة","How to choose your Umrah agency in Morocco: the 7 criteria that matter","fr+ar+en","575","435","515","4","4","4","0","0","0","no","","0","Choisir son agence Omra : 7 critères | Bab Makka","Comment choisir son agence Omra au Maroc : les 7 critères qui comptent","BlogPosting+BreadcrumbList","yes","no"
"difference-omra-hajj","live","guide","","2026-07-23T03:46:00.898+00:00","2026-07-23T03:46:01.328559+00:00","Wiki Tours International","","Omra ou Hajj : quelles différences, et par quoi commencer ?","العمرة أم الحج: ما الفرق، وبأيهما تبدأ؟","Umrah or Hajj: what are the differences, and where to start?","fr+ar+en","446","309","384","5","5","5","0","0","0","no","","0","Omra ou Hajj : les 5 différences | Bab Makka","Omra ou Hajj : quelles différences, et par quoi commencer ?","BlogPosting+BreadcrumbList","yes","no"
"premiere-omra-7-erreurs-a-eviter","live","guide","","2026-07-23T00:00:36.537+00:00","2026-08-25T15:59:35.480288+00:00","Wiki Tours International","","Première Omra : les 7 erreurs à éviter","أول عمرة: 7 أخطاء يجب تجنبها","First Umrah: the 7 mistakes to avoid","fr+ar+en","540","396","488","11","11","11","0","0","0","no","","0","Première Omra : 7 erreurs à éviter | Bab Makka","Première Omra : les 7 erreurs à éviter","BlogPosting+BreadcrumbList","yes","no"
"omra-ramadan-2027-quand-reserver","live","omra","","2026-07-23T00:00:35.577+00:00","2026-08-23T21:28:48.702379+00:00","Wiki Tours International","","Omra Ramadan 2027 : pourquoi tout se joue avant novembre","عمرة رمضان 2027: لماذا يُحسم كل شيء قبل نونبر","Ramadan 2027 Umrah: why everything is decided before November","fr+ar+en","441","313","379","4","4","4","0","0","0","yes","2027","0","Omra Ramadan 2027 : quand réserver ? | Bab Makka","Omra Ramadan 2027 : pourquoi tout se joue avant novembre","BlogPosting+BreadcrumbList","yes","no"
"comment-verifier-agence-omra-agreee-maroc","live","confiance","","2026-07-11T14:24:50.874688+00:00","2026-08-23T21:28:50.6797+00:00","Wiki Tours International","","Comment vérifier qu'une agence Omra est agréée au Maroc","كيف تتحقق من أن وكالة العمرة مرخصة في المغرب","How to verify that an Umrah agency is licensed in Morocco","fr+ar+en","430","316","392","3","3","3","0","0","0","no","2026","0","Comment vérifier une agence Omra agréée au Maroc | Bab Makka","Comment vérifier qu'une agence Omra est agréée au Maroc","BlogPosting+BreadcrumbList","yes","no"
